File Name,HR Size (W x H),LR Size (W x H),Degrade Factor (x),SR_0.5M,SR_0.5M_res,SR_0.5M_n,REFINED,REFINED_res,REFINED_n,res_0.5M,res_0.5M_res,res_0.5M_n
4xSatSR_00121,3000x3000,750x750,4,SR05M_4xSatSR_00121.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00121.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00122,3000x3000,750x750,4,SR05M_4xSatSR_00122.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00122.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00123,3000x3000,750x750,4,SR05M_4xSatSR_00123.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00123.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00124,3000x3000,750x750,4,SR05M_4xSatSR_00124.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00124.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00125,3000x3000,750x750,4,SR05M_4xSatSR_00125.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00125.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00126,3000x3000,750x750,4,SR05M_4xSatSR_00126.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00126.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00127,3000x3000,750x750,4,SR05M_4xSatSR_00127.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00127.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00128,3000x3000,750x750,4,SR05M_4xSatSR_00128.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00128.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00129,3000x3000,750x750,4,SR05M_4xSatSR_00129.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00129.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00130,3000x3000,750x750,4,SR05M_4xSatSR_00130.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00130.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00131,3000x3000,750x750,4,SR05M_4xSatSR_00131.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00131.png,3000x3000,4.0,N/A,N/A,
